[15:43:41] New map: gm_csgoagency
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/barstuff/glass_06.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_oscillator4.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_1_f1.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_6.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card0.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/mouse.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f2.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05b_f1.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles2.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/monitor.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/barstuff/whiskey_bottle_2.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/computer.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/tv6.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_benchset1.mdl
[15:54:58] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f6.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/pencup.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/officedesk_clean4.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x025x025.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_rub_battery.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_oscillator4.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_1_f1.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_6.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card0.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f2.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05b_f1.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/computer.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/tv6.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_benchset1.mdl
[15:55:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f6.mdl
[15:57:26] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/male_07_ruslan.mdl
[16:17:56] RusLanConnection<STEAM_0:0:238810681> spawned model models/dpfilms/metropolice/playermodels/pm_phoenix_police.mdl
[16:26:11] Server is shutting down/changing levels.



[16:28:25] New map: gm_csgoagency
[16:29:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:29:51] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/pencup.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/printer.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_cor_cemtrolly.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/officedesk_clean4.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15_f4.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x025x025.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/binbag.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_rub_battery.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/cj_trolley_rub.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f4.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_01_f1.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/phone.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/ez2models/props/cs_office/chair_office.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_oscillator4.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/office/organizer.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_1_f1.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_6.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card0.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_survival/cash/dufflebag.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f2.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/file_box.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05b_f1.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/tv_plasma.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_militia/paintbucket01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/desks/officedrawer01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/computer.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/tower.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/furious964/props/tv6.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_benchset1.mdl
[16:29:52] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/rub_pile_2_f6.mdl
[16:30:14] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/dpfilms/metropolice/playermodels/pm_phoenix_police.mdl
[16:31:47] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/male_07_ruslan.mdl
[18:13:46] Server is shutting down/changing levels.



[21:54:54] New map: gm_aknevo
